iata,latitude,longitude
Adams House,42.371723,-71.1166585
Quincy House,42.37054759999999,-71.11737719999999
Dunster House,42.3688677,-71.1159634
Cabot House,42.3811693,-71.12473090000002
Eliot House,42.3702829,-71.121056
Currier House,42.381808,-71.1255378
Pforzheimer House,42.38248309999999,-71.1246922
Winthrop House,42.3702025,-71.1191008
Mather House,42.3687061,-71.1153326
Lowell House,42.3715741,-71.11807209999999
Leverett House,42.3700474,-71.11740139999999
Kirkland House,42.3706817,-71.1208953
The Yard,42.374348,-71.116887
